Term,URI
alanine residue,http://purl.obolibrary.org/obo/CHEBI_32441
arginine residue,http://purl.obolibrary.org/obo/CHEBI_32700
asparagine residue,http://purl.obolibrary.org/obo/CHEBI_32664
aspartic acid residue,http://purl.obolibrary.org/obo/CHEBI_32470
cysteine residue,http://purl.obolibrary.org/obo/CHEBI_32460
glutamic acid residue,http://purl.obolibrary.org/obo/CHEBI_32483
glutamine residue,http://purl.obolibrary.org/obo/CHEBI_32677
glycine residue,http://purl.obolibrary.org/obo/CHEBI_29947
histidine residue,http://purl.obolibrary.org/obo/CHEBI_32535
isoleucine residue,http://purl.obolibrary.org/obo/CHEBI_32615
leucine residue,http://purl.obolibrary.org/obo/CHEBI_32630
lysine residue,http://purl.obolibrary.org/obo/CHEBI_32568
methionine residue,http://purl.obolibrary.org/obo/CHEBI_32648
phenylalanine residue,http://purl.obolibrary.org/obo/CHEBI_32503
proline residue,http://purl.obolibrary.org/obo/CHEBI_32874
serine residue,http://purl.obolibrary.org/obo/CHEBI_32848
threonine residue,http://purl.obolibrary.org/obo/CHEBI_32835
tryptophan residue,http://purl.obolibrary.org/obo/CHEBI_32732
tyrosine residue,http://purl.obolibrary.org/obo/CHEBI_32789
valine residue,http://purl.obolibrary.org/obo/CHEBI_32861
adenine residue,http://purl.obolibrary.org/obo/CHEBI_16708
thymine residue,http://purl.obolibrary.org/obo/CHEBI_17821
cytosine residue,http://purl.obolibrary.org/obo/CHEBI_16040
guanine residue,http://purl.obolibrary.org/obo/CHEBI_16235
uracil residue,http://purl.obolibrary.org/obo/CHEBI_17568
