Original Term,URI,Ontology Label
alanine residue,http://purl.obolibrary.org/obo/CHEBI_32441,alanine residue
arginine residue,http://purl.obolibrary.org/obo/CHEBI_32700,arginine residue
asparagine residue,http://purl.obolibrary.org/obo/CHEBI_32664,asparagine residue
aspartic acid residue,http://purl.obolibrary.org/obo/CHEBI_32470,aspartic acid residue
cysteine residue,http://purl.obolibrary.org/obo/CHEBI_32460,cysteine residue
glutamic acid residue,http://purl.obolibrary.org/obo/CHEBI_32483,glutamic acid residue
glutamine residue,http://purl.obolibrary.org/obo/CHEBI_32677,glutamine residue
glycine residue,http://purl.obolibrary.org/obo/CHEBI_29947,glycine residue
histidine residue,http://purl.obolibrary.org/obo/CHEBI_32535,histidine residue
isoleucine residue,http://purl.obolibrary.org/obo/CHEBI_32615,isoleucine residue
leucine residue,http://purl.obolibrary.org/obo/CHEBI_32630,leucine residue
lysine residue,http://purl.obolibrary.org/obo/CHEBI_32568,lysine residue
methionine residue,http://purl.obolibrary.org/obo/CHEBI_32648,methionine residue
phenylalanine residue,http://purl.obolibrary.org/obo/CHEBI_32503,phenylalanine residue
proline residue,http://purl.obolibrary.org/obo/CHEBI_32874,proline residue
serine residue,http://purl.obolibrary.org/obo/CHEBI_32848,serine residue
threonine residue,http://purl.obolibrary.org/obo/CHEBI_32835,threonine residue
tryptophan residue,http://purl.obolibrary.org/obo/CHEBI_32732,tryptophan residue
tyrosine residue,http://purl.obolibrary.org/obo/CHEBI_32789,tyrosine residue
valine residue,http://purl.obolibrary.org/obo/CHEBI_32861,valine residue
adenine residue,http://purl.obolibrary.org/obo/CHEBI_16708,adenine
thymine residue,http://purl.obolibrary.org/obo/CHEBI_17821,thymine
cytosine residue,http://purl.obolibrary.org/obo/CHEBI_16040,cytosine
guanine residue,http://purl.obolibrary.org/obo/CHEBI_16235,guanine
uracil residue,http://purl.obolibrary.org/obo/CHEBI_17568,uracil
